id,apa_code,contract_full,contract_short
1,APA00055104,"Tecnorém - Engenharia e Construções, S.A.","Tecnorém, S.A."
2,APA08214303,"2116 - Empreitada de Construção do Hospital de Proximidade de Sintra","2116 - Hosp. Sintra"
3,APA10203683,"2212 - Remod. e Ampliação do Lar Idosos Bairro","2212 - Lar Bairro"
4,APA10274863,"2303 - Construção do Programa Habitacional do Parque da Junça","2303 - Parque Junça"
5,APA10366363,"2201 - TMG III","2201 - TMG III"
6,APA10437163,"2306 - Construção da Igreja do Bairro da Boavista","2306 - Igreja Boavista"
7,APA10438423,"2302 - Construção dos Lotes A, B, C e D do PIA.10 Alfazina","2302 - Lotes Alfazina"
8,APA10476963,"2304 - Reabilitação Bairro Manteigadas - LOTE 1","2304 - Manteigadas Lote 1"
9,APA10477023,"2307 - Reabilitação Bairro Manteigadas - LOTE 2","2307 - Manteigadas Lote 2"
10,APA10559363,"2308 - Ligação Castelo Bode - Mação","2308 - Mação"
11,APA11151863,"2208 - Prédio Odivelas","2208 - Prédio Odivelas"
12,APA11151943,"2213 - Construção Pavilhão Gimnodesportivo Escola Secundária de Palmela","2213 - Pavilhão Palmela"
13,APA11152003,"2312 - Requalificação do Bairro da Alameda das Palmeiras - Lote 1","2312 - Palmeiras Lote 1"
14,APA11152043,"2313 - Requalificação do Bairro da Alameda das Palmeiras - Lote 2","2313 - Palmeiras Lote 2"
15,APA11152303,"2314 - Empreitada de Beneficiação da ETAR da Cavaleira","2314 - ETAR Cavaleira"
16,APA11312903,"2316 - Lar Idosos Centro Dia Alburitel","2316 - Lar Alburitel"
17,APA11351503,"2314 - Empreitada de Beneficiação da ETAR da Cavaleira","2314 - ETAR Cavaleira"
18,APA11702723,"2317 - Construção do Lar Residencial do CRIF","2317 - CRIF"
19,APA11710443,"2404 - Reabilitação Energética de 60 fogos na Avenida de Portugal e 74 fogos na rua do Reino Unido, Campinas - Idanha - PRR - Estratégia Local de Habitação - Por Lotes (5) - Lote 1","2404 - Idanha Lote 1"
20,APA11710623,"2405 - Reabilitação Energética de 60 Fogos na Av. De Portugal e 74 Fogos na Rua do Reino Unido, Campinas – Idanha – PRR – Estratégia Local de Habitação – Por Lotes (5) - Lote 5","2405 - Idanha Lote 5"
21,APA11710743,"2406 - Reabilitação do Bairro do Forte da Bela Vista Edifícios de Habitação Multifamiliar – Lote 1","2406 - Bela Vista Lote 1"
22,APA11710763,"2406 - Reabilitação do Bairro do Forte da Bela Vista Edifícios de Habitação Multifamiliar – Lote 2","2406 - Bela Vista Lote 2"
23,APA11710823,"2407 - Reabilitação Do Bairro “Amarelo” Na Bela Vista – Lote 1","2407 - Bairro Amarelo Lote 1"
24,APA11710863,"2407 - Reabilitação Do Bairro “Amarelo” Na Bela Vista – Lote 2","2407 - Bairro Amarelo Lote 2"
25,APA11710903,"2407 - Reabilitação Do Bairro “Amarelo” Na Bela Vista – Lote 3","2407 - Bairro Amarelo Lote 3"
26,APA11710923,"2407 - Reabilitação Do Bairro “Amarelo” Na Bela Vista – Lote 4","2407 - Bairro Amarelo Lote 4"
