codLER,description
"02 01 07","Resíduos silvícolas"
"13 02 08","(*)Outros óleos de motores, transmissões e lubrificação"
"14 06 01","(*) Clorofluorcarbonetos, HCFC, HFC"
"15 01 01","Embalagens de papel e cartão"
"15 01 02","Embalagens de plástico"
"15 01 05","Embalagens compósitas"
"15 01 06","Misturas de embalagens"
"15 01 11","(*) Embalagens de metal, incluindo recipientes vazios sob pressão, contendo uma matriz porosa sólida perigosa (por exemplo, amianto)"
"15 02 02","(*) Absorventes, materiais filtrantes (incluindo filtros de óleo sem outras especificações), panos de limpeza e vestuário de proteção, contaminados por substâncias perigosas"
"15 02 03","Absorventes, materiais filtrantes, panos de limpeza e vestuário de proteção não abrangidos em 15 02 02"
"16 01 07","(*) Filtros de óleo"
"16 01 21","(*) Componentes perigosos não abrangidos em 16 01 07 a 16 01 11, 16 01 13 e 16 01 14"
"17 01 01","Betão"
"17 01 02","Tijolos"
"17 01 03","Ladrilhos, telhas e materiais cerâmicos"
"17 01 07","Misturas de betão, tijolos, ladrilhos, telhas e materiais cerâmicos, não abrangidas em 17 01 06"
"17 02 01","Madeira"
"17 02 02","Vidro"
"17 02 03","Plástico"
"17 04 01","Cobre, bronze e latão"
"17 04 02","Alumínio"
"17 04 05","Ferro e aço"
"17 04 07","Mistura de metais"
"17 04 11","Cabos não abrangidos em 17 04 10"
"17 05 04","Solos e rochas, não abrangidos em 17 05 03"
"17 06 04","Materiais de isolamento não abrangidos em 17 06 01 e 17 06 03"
"17 08 02","Materiais de construção à base de gesso não abrangidos em 17 08 01"
"17 09 04","Mistura de resíduos de construção e demolição, não abrangidos em 17 09 01, 17 09 02 e 17 09 03"
"20 02 01","Resíduos biodegradáveis"

